162823181,E-768,Nguoi 00,66N-784.75
900465716,G-322,Nguoi 01,77Y-308.96
311894754,B-305,Nguoi 02,41H-849.79
917855128,E-405,Nguoi 03,99D-443.64
637993297,Q-631,Nguoi 04,13X-483.39
871826247,C-300,Nguoi 05,39Y-418.83
964280294,E-417,Nguoi 06,76I-969.85
707198124,K-925,Nguoi 07,43G-695.46
968878707,E-318,Nguoi 08,41T-361.34
822918336,F-341,Nguoi 09,20W-122.81
168098131,G-236,Nguoi 10,78B-191.63
618127945,K-316,Nguoi 11,27D-782.83
684130357,I-868,Nguoi 12,84Z-415.64
595946799,U-800,Nguoi 13,13S-452.82
13,U-702,Nguoi 15,13S-452.84
14,U-703,Nguoi 16,13S-452.85
面面面面面面面面面面2222,2222,truong,222222416,U-705,Nguoi 18,13S-452.87
17,U-706,Nguoi 19,13S-452.88
